InventoryID,ProductValue,RestockQuantity,CurrentQuantity,Date,ProductID,SupplierID
00072,90,0,89,2024/12/01,00006,00074
00073,100,0,50,2024/01/01,00007,00097
00074,50,0,41,2024/02/01,00007,00097
00075,90,7,24,2024/03/01,00007,00097
00076,40,1,24,2024/04/01,00007,00097
00077,70,1,26,2024/05/01,00007,00097
00078,80,1,68,2024/06/01,00007,00097
00079,40,0,56,2024/07/01,00007,00097
00080,70,0,56,2024/08/01,00007,00097
00081,50,0,56,2024/09/01,00007,00097
00082,90,0,56,2024/10/01,00007,00097
00083,30,6,62,2024/11/01,00007,00097
00084,100,0,58,2024/12/01,00007,00097
00085,90,3,153,2024/01/01,00008,00068
00086,80,0,148,2024/02/01,00008,00068
00087,70,10,148,2024/03/01,00008,00068
00088,50,6,153,2024/04/01,00008,00068
00089,50,5,139,2024/05/01,00008,00068
00090,60,4,292,2024/06/01,00008,00068
00091,30,0,296,2024/07/01,00008,00068
00092,60,6,293,2024/08/01,00008,00068
00093,50,4,281,2024/09/01,00008,00068
00094,80,1,276,2024/10/01,00008,00068
00095,90,2,276,2024/11/01,00008,00068
00096,40,1,254,2024/12/01,00008,00068
00097,40,10,60,2024/01/01,00009,00002
00098,80,0,56,2024/02/01,00009,00002
00099,40,8,64,2024/03/01,00009,00002
00100,30,0,58,2024/04/01,00009,00002
00101,30,0,58,2024/05/01,00009,00002
00102,50,5,113,2024/06/01,00009,00002
00103,50,0,106,2024/07/01,00009,00002
00104,100,7,113,2024/08/01,00009,00002
00105,70,0,107,2024/09/01,00009,00002
00106,60,3,110,2024/10/01,00009,00002
00107,90,9,104,2024/11/01,00009,00002
00108,70,0,102,2024/12/01,00009,00002
00109,50,2,52,2024/01/01,00010,00012
00110,100,7,36,2024/02/01,00010,00012
00111,40,0,43,2024/03/01,00010,00012
00112,100,0,43,2024/04/01,00010,00012
00113,40,0,43,2024/05/01,00010,00012
00114,80,0,93,2024/06/01,00010,00012
00115,80,3,96,2024/07/01,00010,00012
00116,50,0,89,2024/08/01,00010,00012
00117,60,7,76,2024/09/01,00010,00012
00118,100,0,74,2024/10/01,00010,00012
00119,60,0,74,2024/11/01,00010,00012
00120,40,0,67,2024/12/01,00010,00012
00121,60,0,50,2024/01/01,00011,00077
00122,70,0,50,2024/02/01,00011,00077
00123,50,1,51,2024/03/01,00011,00077
00124,60,3,46,2024/04/01,00011,00077
00125,80,1,36,2024/05/01,00011,00077
00126,100,0,87,2024/06/01,00011,00077
00127,80,2,82,2024/07/01,00011,00077
00128,50,9,93,2024/08/01,00011,00077
00129,60,3,85,2024/09/01,00011,00077
00130,80,1,77,2024/10/01,00011,00077
00131,30,6,63,2024/11/01,00011,00077
00132,100,14,70,2024/12/01,00011,00077
00133,50,4,54,2024/01/01,00012,00078
00134,90,0,51,2024/02/01,00012,00078
00135,100,0,51,2024/03/01,00012,00078
00136,60,0,51,2024/04/01,00012,00078
00137,30,1,48,2024/05/01,00012,00078
00138,40,7,106,2024/06/01,00012,00078
00139,80,4,88,2024/07/01,00012,00078
00140,30,0,92,2024/08/01,00012,00078
00141,70,2,94,2024/09/01,00012,00078
00142,80,0,80,2024/10/01,00012,00078
00143,60,1,77,2024/11/01,00012,00078
00144,40,0,78,2024/12/01,00012,00078
00145,70,5,55,2024/01/01,00013,00058
00146,80,0,52,2024/02/01,00013,00058
00147,60,2,54,2024/03/01,00013,00058
00148,90,2,38,2024/04/01,00013,00058
00149,70,0,40,2024/05/01,00013,00058
00150,100,0,90,2024/06/01,00013,00058
00151,100,1,71,2024/07/01,00013,00058
00152,70,9,81,2024/08/01,00013,00058
00153,100,0,76,2024/09/01,00013,00058
00154,100,0,76,2024/10/01,00013,00058
00155,80,1,77,2024/11/01,00013,00058
00156,40,1,69,2024/12/01,00013,00058
00157,60,0,50,2024/01/01,00014,00006
00158,90,3,44,2024/02/01,00014,00006
00159,100,0,47,2024/03/01,00014,00006
00160,40,4,41,2024/04/01,00014,00006
00161,90,0,45,2024/05/01,00014,00006
00162,60,5,93,2024/06/01,00014,00006
00163,30,0,80,2024/07/01,00014,00006
00164,90,1,81,2024/08/01,00014,00006
00165,60,0,72,2024/09/01,00014,00006
00166,100,0,72,2024/10/01,00014,00006
00167,50,0,72,2024/11/01,00014,00006
00168,60,1,66,2024/12/01,00014,00006
00169,90,0,50,2024/01/01,00015,00050
00170,70,0,50,2024/02/01,00015,00050
00171,60,0,50,2024/03/01,00015,00050
00172,70,8,49,2024/04/01,00015,00050
00173,50,0,43,2024/05/01,00015,00050
00174,60,2,87,2024/06/01,00015,00050
00175,100,0,89,2024/07/01,00015,00050
00176,40,10,99,2024/08/01,00015,00050
00177,60,0,93,2024/09/01,00015,00050
00178,80,0,93,2024/10/01,00015,00050
00179,50,0,93,2024/11/01,00015,00050
00180,50,13,93,2024/12/01,00015,00050
00181,90,0,150,2024/01/01,00016,00032
00182,40,0,150,2024/02/01,00016,00032
00183,70,3,153,2024/03/01,00016,00032
00184,90,1,140,2024/04/01,00016,00032
00185,90,0,141,2024/05/01,00016,00032
00186,30,9,285,2024/06/01,00016,00032
00187,100,1,295,2024/07/01,00016,00032
00188,90,7,280,2024/08/01,00016,00032
00189,80,0,270,2024/09/01,00016,00032
00190,90,0,270,2024/10/01,00016,00032
00191,40,1,271,2024/11/01,00016,00032
00192,70,0,269,2024/12/01,00016,00032
00193,80,2,52,2024/01/01,00017,00085
00194,30,11,40,2024/02/01,00017,00085
00195,80,5,47,2024/03/01,00017,00085
00196,70,1,39,2024/04/01,00017,00085
00197,70,1,41,2024/05/01,00017,00085
00198,100,0,86,2024/06/01,00017,00085
00199,90,0,86,2024/07/01,00017,00085
00200,60,9,95,2024/08/01,00017,00085
00201,80,0,80,2024/09/01,00017,00085
00202,60,5,85,2024/10/01,00017,00085
00203,70,2,77,2024/11/01,00017,00085
00204,80,0,72,2024/12/01,00017,00085
00205,50,7,57,2024/01/01,00018,00093
00206,30,0,46,2024/02/01,00018,00093
00207,50,0,46,2024/03/01,00018,00093
00208,30,0,46,2024/04/01,00018,00093
00209,70,6,52,2024/05/01,00018,00093
00210,40,2,101,2024/06/01,00018,00093
00211,50,2,87,2024/07/01,00018,00093
00212,70,4,88,2024/08/01,00018,00093
00213,70,0,86,2024/09/01,00018,00093
00214,50,1,87,2024/10/01,00018,00093
00215,100,0,82,2024/11/01,00018,00093
00216,70,4,78,2024/12/01,00018,00093
00217,80,0,50,2024/01/01,00019,00095
00218,80,0,50,2024/02/01,00019,00095
00219,70,0,50,2024/03/01,00019,00095
00220,50,0,50,2024/04/01,00019,00095
00221,30,1,38,2024/05/01,00019,00095
00222,100,0,89,2024/06/01,00019,00095
00223,40,1,90,2024/07/01,00019,00095
00224,40,0,74,2024/08/01,00019,00095
00225,100,5,79,2024/09/01,00019,00095
00226,30,7,69,2024/10/01,00019,00095
00227,40,12,70,2024/11/01,00019,00095
00228,80,0,71,2024/12/01,00019,00095
00229,90,0,50,2024/01/01,00020,00023
00230,40,0,50,2024/02/01,00020,00023
00231,100,3,53,2024/03/01,00020,00023
00232,50,1,39,2024/04/01,00020,00023
00233,40,1,33,2024/05/01,00020,00023
00234,100,0,74,2024/06/01,00020,00023
00235,60,5,67,2024/07/01,00020,00023
00236,80,2,65,2024/08/01,00020,00023
00237,40,5,38,2024/09/01,00020,00023
00238,80,0,43,2024/10/01,00020,00023
00239,50,1,39,2024/11/01,00020,00023
00240,90,0,40,2024/12/01,00020,00023
00241,90,6,256,2024/01/01,00021,00079
00242,90,0,250,2024/02/01,00021,00079
00243,50,0,250,2024/03/01,00021,00079
00244,50,1,242,2024/04/01,00021,00079
00245,70,0,243,2024/05/01,00021,00079
00246,90,0,493,2024/06/01,00021,00079
00247,70,2,484,2024/07/01,00021,00079
00248,60,0,486,2024/08/01,00021,00079
00249,50,0,486,2024/09/01,00021,00079
00250,70,0,486,2024/10/01,00021,00079
00251,100,0,486,2024/11/01,00021,00079
00252,100,0,486,2024/12/01,00021,00079
00253,80,0,50,2024/01/01,00022,00073
00254,30,7,57,2024/02/01,00022,00073
00255,90,2,51,2024/03/01,00022,00073
00256,60,11,47,2024/04/01,00022,00073
00257,30,2,40,2024/05/01,00022,00073
00258,100,3,76,2024/06/01,00022,00073
00259,90,4,83,2024/07/01,00022,00073
00260,90,0,78,2024/08/01,00022,00073
00261,60,0,78,2024/09/01,00022,00073
00262,50,4,79,2024/10/01,00022,00073
00263,80,0,68,2024/11/01,00022,00073
00264,30,4,62,2024/12/01,00022,00073
00265,70,0,50,2024/01/01,00023,00061
00266,50,0,50,2024/02/01,00023,00061
00267,90,0,50,2024/03/01,00023,00061
00268,70,0,50,2024/04/01,00023,00061
00269,80,0,50,2024/05/01,00023,00061
00270,30,5,105,2024/06/01,00023,00061
00271,40,0,98,2024/07/01,00023,00061
00272,100,4,102,2024/08/01,00023,00061
00273,30,3,92,2024/09/01,00023,00061
00274,100,4,81,2024/10/01,00023,00061
00275,40,2,83,2024/11/01,00023,00061
00276,70,1,79,2024/12/01,00023,00061
00277,90,1,51,2024/01/01,00024,00036
00278,40,7,41,2024/02/01,00024,00036
00279,100,0,36,2024/03/01,00024,00036
00280,70,0,36,2024/04/01,00024,00036
00281,80,0,36,2024/05/01,00024,00036
00282,50,1,82,2024/06/01,00024,00036
00283,40,0,72,2024/07/01,00024,00036
00284,70,0,72,2024/08/01,00024,00036
00285,50,0,72,2024/09/01,00024,00036
00286,50,12,84,2024/10/01,00024,00036
00287,60,0,76,2024/11/01,00024,00036
00288,30,0,76,2024/12/01,00024,00036
00289,70,3,153,2024/01/01,00025,00037
00290,70,0,152,2024/02/01,00025,00037
00291,80,0,152,2024/03/01,00025,00037
00292,30,0,152,2024/04/01,00025,00037
00293,60,1,153,2024/05/01,00025,00037
00294,90,11,310,2024/06/01,00025,00037
00295,70,0,283,2024/07/01,00025,00037
00296,50,11,286,2024/08/01,00025,00037
00297,60,12,298,2024/09/01,00025,00037
00298,50,7,288,2024/10/01,00025,00037
00299,80,0,295,2024/11/01,00025,00037
00300,40,2,297,2024/12/01,00025,00037
00301,100,0,150,2024/01/01,00026,00043
00302,60,1,147,2024/02/01,00026,00043
00303,30,10,146,2024/03/01,00026,00043
00304,90,0,144,2024/04/01,00026,00043
00305,80,0,144,2024/05/01,00026,00043
00306,50,0,276,2024/06/01,00026,00043
00307,90,0,276,2024/07/01,00026,00043
00308,80,0,276,2024/08/01,00026,00043
00309,80,0,276,2024/09/01,00026,00043
00310,30,1,277,2024/10/01,00026,00043
00311,40,7,271,2024/11/01,00026,00043
00312,70,6,274,2024/12/01,00026,00043
00313,100,4,154,2024/01/01,00027,00062
00314,30,3,141,2024/02/01,00027,00062
00315,60,0,132,2024/03/01,00027,00062
00316,50,4,115,2024/04/01,00027,00062
00317,30,3,117,2024/05/01,00027,00062
00318,60,3,258,2024/06/01,00027,00062
00319,60,0,261,2024/07/01,00027,00062
00320,100,0,261,2024/08/01,00027,00062
00321,60,17,263,2024/09/01,00027,00062
00322,60,0,266,2024/10/01,00027,00062
00323,90,6,272,2024/11/01,00027,00062
00324,50,0,266,2024/12/01,00027,00062
00325,90,6,256,2024/01/01,00028,00056
00326,100,0,249,2024/02/01,00028,00056
00327,100,0,249,2024/03/01,00028,00056
00328,50,0,249,2024/04/01,00028,00056
00329,60,1,248,2024/05/01,00028,00056
00330,60,2,492,2024/06/01,00028,00056
00331,100,0,487,2024/07/01,00028,00056
00332,100,2,489,2024/08/01,00028,00056
00333,40,4,470,2024/09/01,00028,00056
00334,100,0,474,2024/10/01,00028,00056
00335,50,3,469,2024/11/01,00028,00056
00336,100,8,480,2024/12/01,00028,00056
00337,60,0,50,2024/01/01,00029,00099
00338,40,0,50,2024/02/01,00029,00099
00339,40,1,51,2024/03/01,00029,00099
00340,100,0,49,2024/04/01,00029,00099
00341,30,0,42,2024/05/01,00029,00099
00342,80,5,97,2024/06/01,00029,00099
00343,90,4,93,2024/07/01,00029,00099
00344,100,0,87,2024/08/01,00029,00099
00345,30,0,78,2024/09/01,00029,00099
00346,40,3,81,2024/10/01,00029,00099
00347,60,9,82,2024/11/01,00029,00099
00348,40,0,75,2024/12/01,00029,00099
00349,90,0,250,2024/01/01,00030,00009
00350,40,9,259,2024/02/01,00030,00009
00351,50,0,242,2024/03/01,00030,00009
00352,80,0,242,2024/04/01,00030,00009
00353,50,0,242,2024/05/01,00030,00009
00354,50,0,492,2024/06/01,00030,00009
00355,60,7,499,2024/07/01,00030,00009
00356,50,3,483,2024/08/01,00030,00009
00357,80,0,476,2024/09/01,00030,00009
00358,50,7,471,2024/10/01,00030,00009
00359,90,0,468,2024/11/01,00030,00009
00360,60,0,468,2024/12/01,00030,00009
00361,40,0,250,2024/01/01,00031,00001
00362,40,6,236,2024/02/01,00031,00001
00363,60,0,235,2024/03/01,00031,00001
00364,30,7,242,2024/04/01,00031,00001
00365,80,0,230,2024/05/01,00031,00001
00366,40,4,478,2024/06/01,00031,00001
00367,90,0,468,2024/07/01,00031,00001
00368,90,0,468,2024/08/01,00031,00001
00369,30,3,455,2024/09/01,00031,00001
00370,70,2,460,2024/10/01,00031,00001
00371,80,0,456,2024/11/01,00031,00001
00372,100,0,456,2024/12/01,00031,00001
00373,70,0,50,2024/01/01,00032,00024
00374,40,4,47,2024/02/01,00032,00024
00375,60,3,35,2024/03/01,00032,00024
00376,100,0,27,2024/04/01,00032,00024
00377,70,0,27,2024/05/01,00032,00024
00378,80,5,68,2024/06/01,00032,00024
00379,70,0,73,2024/07/01,00032,00024
00380,50,3,65,2024/08/01,00032,00024
00381,60,0,63,2024/09/01,00032,00024
00382,90,0,63,2024/10/01,00032,00024
00383,90,5,68,2024/11/01,00032,00024
00384,80,6,71,2024/12/01,00032,00024
00385,80,0,50,2024/01/01,00033,00066
00386,50,3,43,2024/02/01,00033,00066
00387,80,0,39,2024/03/01,00033,00066
00388,90,0,39,2024/04/01,00033,00066
00389,60,0,39,2024/05/01,00033,00066
00390,80,2,91,2024/06/01,00033,00066
00391,40,0,83,2024/07/01,00033,00066
00392,50,0,83,2024/08/01,00033,00066
00393,100,6,89,2024/09/01,00033,00066
00394,30,0,76,2024/10/01,00033,00066
00395,40,7,83,2024/11/01,00033,00066
00396,100,0,81,2024/12/01,00033,00066
00397,100,1,51,2024/01/01,00034,00051
00398,80,0,50,2024/02/01,00034,00051
00399,80,0,43,2024/03/01,00034,00051
00400,70,0,43,2024/04/01,00034,00051
00401,60,0,43,2024/05/01,00034,00051
00402,60,3,96,2024/06/01,00034,00051
00403,80,0,89,2024/07/01,00034,00051
00404,30,0,77,2024/08/01,00034,00051
00405,30,2,79,2024/09/01,00034,00051
00406,70,5,76,2024/10/01,00034,00051
00407,90,4,74,2024/11/01,00034,00051
00408,90,7,64,2024/12/01,00034,00051
00409,70,12,62,2024/01/01,00035,00072
00410,60,7,41,2024/02/01,00035,00072
00411,70,9,43,2024/03/01,00035,00072
00412,30,0,40,2024/04/01,00035,00072
00413,70,0,40,2024/05/01,00035,00072
00414,100,9,99,2024/06/01,00035,00072
00415,80,1,95,2024/07/01,00035,00072
00416,90,1,78,2024/08/01,00035,00072
00417,100,6,63,2024/09/01,00035,00072
00418,80,0,43,2024/10/01,00035,00072
00419,40,0,43,2024/11/01,00035,00072
00420,40,3,46,2024/12/01,00035,00072
00421,70,2,52,2024/01/01,00036,00098
00422,90,1,48,2024/02/01,00036,00098
00423,80,0,34,2024/03/01,00036,00098
00424,40,0,34,2024/04/01,00036,00098
00425,40,16,28,2024/05/01,00036,00098
00426,40,11,94,2024/06/01,00036,00098
00427,60,0,82,2024/07/01,00036,00098
00428,80,0,82,2024/08/01,00036,00098
00429,50,4,86,2024/09/01,00036,00098
00430,70,0,76,2024/10/01,00036,00098
00431,40,0,76,2024/11/01,00036,00098
00432,30,0,76,2024/12/01,00036,00098
00433,30,1,51,2024/01/01,00037,00031
00434,100,2,38,2024/02/01,00037,00031
00435,60,0,36,2024/03/01,00037,00031
00436,40,3,39,2024/04/01,00037,00031
00437,100,9,38,2024/05/01,00037,00031
00438,40,1,78,2024/06/01,00037,00031
00439,90,8,87,2024/07/01,00037,00031
00440,50,5,81,2024/08/01,00037,00031
00441,30,0,79,2024/09/01,00037,00031
00442,50,0,79,2024/10/01,00037,00031
00443,90,9,79,2024/11/01,00037,00031
00444,90,0,73,2024/12/01,00037,00031
00445,40,0,250,2024/01/01,00038,00070
00446,50,0,242,2024/02/01,00038,00070
00447,80,5,235,2024/03/01,00038,00070
00448,70,2,222,2024/04/01,00038,00070
00449,100,4,222,2024/05/01,00038,00070
00450,50,0,469,2024/06/01,00038,00070
00451,50,0,469,2024/07/01,00038,00070
00452,100,2,463,2024/08/01,00038,00070
00453,80,0,456,2024/09/01,00038,00070
00454,30,0,456,2024/10/01,00038,00070
00455,40,2,454,2024/11/01,00038,00070
00456,60,11,453,2024/12/01,00038,00070
00457,50,0,50,2024/01/01,00039,00005
00458,60,0,50,2024/02/01,00039,00005
00459,40,6,50,2024/03/01,00039,00005
00460,60,5,29,2024/04/01,00039,00005
00461,70,2,24,2024/05/01,00039,00005
00462,60,4,73,2024/06/01,00039,00005
00463,40,0,64,2024/07/01,00039,00005
00464,70,2,66,2024/08/01,00039,00005
00465,60,1,61,2024/09/01,00039,00005
00466,70,3,61,2024/10/01,00039,00005
00467,90,0,50,2024/11/01,00039,00005
00468,40,0,50,2024/12/01,00039,00005
00469,30,8,58,2024/01/01,00040,00100
00470,100,1,48,2024/02/01,00040,00100
00471,70,1,44,2024/03/01,00040,00100
00472,90,2,38,2024/04/01,00040,00100
00473,30,5,25,2024/05/01,00040,00100
00474,90,4,66,2024/06/01,00040,00100
00475,90,0,60,2024/07/01,00040,00100
00476,40,0,60,2024/08/01,00040,00100
00477,60,0,60,2024/09/01,00040,00100
00478,70,0,60,2024/10/01,00040,00100
00479,100,0,60,2024/11/01,00040,00100
00480,30,5,58,2024/12/01,00040,00100
00481,70,0,50,2024/01/01,00041,00080
00482,80,0,50,2024/02/01,00041,00080
00483,90,0,50,2024/03/01,00041,00080
00484,80,0,50,2024/04/01,00041,00080
00485,60,3,53,2024/05/01,00041,00080
00486,80,0,97,2024/06/01,00041,00080
00487,30,2,99,2024/07/01,00041,00080
00488,60,0,89,2024/08/01,00041,00080
00489,30,0,89,2024/09/01,00041,00080
00490,30,0,89,2024/10/01,00041,00080
00491,80,1,78,2024/11/01,00041,00080
00492,100,0,74,2024/12/01,00041,00080
00493,50,7,57,2024/01/01,00042,00042
00494,90,0,45,2024/02/01,00042,00042
00495,70,0,45,2024/03/01,00042,00042
00496,80,4,49,2024/04/01,00042,00042
00497,40,0,42,2024/05/01,00042,00042
00498,90,0,92,2024/06/01,00042,00042
00499,80,2,94,2024/07/01,00042,00042
00500,60,0,87,2024/08/01,00042,00042
00501,40,0,87,2024/09/01,00042,00042
00502,90,0,87,2024/10/01,00042,00042
00503,100,0,87,2024/11/01,00042,00042
00504,50,4,91,2024/12/01,00042,00042
00505,70,0,250,2024/01/01,00043,00033
00506,40,4,254,2024/02/01,00043,00033
00507,50,5,252,2024/03/01,00043,00033
00508,100,2,252,2024/04/01,00043,00033
00509,60,0,245,2024/05/01,00043,00033
00510,60,4,499,2024/06/01,00043,00033
00511,30,0,494,2024/07/01,00043,00033
00512,90,0,494,2024/08/01,00043,00033
00513,40,0,494,2024/09/01,00043,00033
00514,30,1,488,2024/10/01,00043,00033
00515,100,2,482,2024/11/01,00043,00033
00516,90,5,485,2024/12/01,00043,00033
00517,70,0,150,2024/01/01,00044,00046
00518,60,0,150,2024/02/01,00044,00046
00519,90,5,144,2024/03/01,00044,00046
00520,100,0,144,2024/04/01,00044,00046
00521,30,9,144,2024/05/01,00044,00046
00522,30,0,291,2024/06/01,00044,00046
00523,90,2,293,2024/07/01,00044,00046
00524,50,0,291,2024/08/01,00044,00046
00525,50,0,291,2024/09/01,00044,00046
00526,100,0,291,2024/10/01,00044,00046
00527,50,0,291,2024/11/01,00044,00046
00528,70,4,280,2024/12/01,00044,00046
00529,30,0,150,2024/01/01,00045,00017
00530,90,9,153,2024/02/01,00045,00017
00531,40,0,146,2024/03/01,00045,00017
00532,70,10,156,2024/04/01,00045,00017
00533,60,0,140,2024/05/01,00045,00017
00534,30,3,289,2024/06/01,00045,00017
00535,70,0,292,2024/07/01,00045,00017
00536,50,0,284,2024/08/01,00045,00017
00537,30,15,299,2024/09/01,00045,00017
00538,90,9,284,2024/10/01,00045,00017
00539,100,0,293,2024/11/01,00045,00017
00540,30,4,297,2024/12/01,00045,00017
00541,30,0,50,2024/01/01,00046,00043
00542,70,0,39,2024/02/01,00046,00043
00543,30,6,45,2024/03/01,00046,00043
00544,30,7,49,2024/04/01,00046,00043
00545,60,7,52,2024/05/01,00046,00043
00546,60,0,98,2024/06/01,00046,00043
00547,90,0,98,2024/07/01,00046,00043
00548,30,2,90,2024/08/01,00046,00043
00549,30,0,77,2024/09/01,00046,00043
00550,40,0,77,2024/10/01,00046,00043
00551,60,0,77,2024/11/01,00046,00043
00552,100,0,63,2024/12/01,00046,00043
00553,80,11,261,2024/01/01,00047,00062
00554,50,3,253,2024/02/01,00047,00062
00555,80,0,244,2024/03/01,00047,00062
00556,80,9,253,2024/04/01,00047,00062
00557,40,7,256,2024/05/01,00047,00062
00558,40,1,502,2024/06/01,00047,00062
00559,50,0,497,2024/07/01,00047,00062
00560,90,4,501,2024/08/01,00047,00062
00561,60,2,492,2024/09/01,00047,00062
00562,40,3,491,2024/10/01,00047,00062
00563,60,0,488,2024/11/01,00047,00062
00564,30,0,478,2024/12/01,00047,00062
00565,100,0,250,2024/01/01,00048,00056
00566,60,9,250,2024/02/01,00048,00056
00567,70,0,246,2024/03/01,00048,00056
00568,30,10,247,2024/04/01,00048,00056
00569,90,0,242,2024/05/01,00048,00056
00570,60,7,499,2024/06/01,00048,00056
00571,80,2,485,2024/07/01,00048,00056
00572,40,0,478,2024/08/01,00048,00056
00573,30,2,472,2024/09/01,00048,00056
00574,40,0,461,2024/10/01,00048,00056
00575,30,13,470,2024/11/01,00048,00056
00576,100,2,462,2024/12/01,00048,00056
00577,50,0,50,2024/01/01,00049,00099
00578,30,0,50,2024/02/01,00049,00099
00579,100,0,50,2024/03/01,00049,00099
00580,40,0,50,2024/04/01,00049,00099
00581,100,6,44,2024/05/01,00049,00099
00582,80,10,92,2024/06/01,00049,00099
00583,70,0,95,2024/07/01,00049,00099
00584,40,0,95,2024/08/01,00049,00099
00585,60,0,95,2024/09/01,00049,00099
00586,30,0,95,2024/10/01,00049,00099
00587,90,9,93,2024/11/01,00049,00099
00588,40,3,97,2024/12/01,00049,00099
00589,90,3,53,2024/01/01,00050,00009
00590,50,0,45,2024/02/01,00050,00009
00591,40,0,45,2024/03/01,00050,00009
00592,50,0,45,2024/04/01,00050,00009
00593,40,0,45,2024/05/01,00050,00009
00594,70,0,95,2024/06/01,00050,00009
00595,60,0,95,2024/07/01,00050,00009
00596,70,0,95,2024/08/01,00050,00009
00597,30,8,92,2024/09/01,00050,00009
00598,30,12,112,2024/10/01,00050,00009
00599,90,6,103,2024/11/01,00050,00009
00600,100,10,83,2024/12/01,00050,00009
00601,40,0,50,2024/01/01,00051,00001
00602,100,0,50,2024/02/01,00051,00001
00603,60,1,48,2024/03/01,00051,00001
00604,50,8,46,2024/04/01,00051,00001
00605,100,4,58,2024/05/01,00051,00001
00606,40,6,107,2024/06/01,00051,00001
00607,30,1,89,2024/07/01,00051,00001
00608,50,1,91,2024/08/01,00051,00001
00609,80,1,71,2024/09/01,00051,00001
00610,70,2,68,2024/10/01,00051,00001
00611,40,0,61,2024/11/01,00051,00001
00612,100,0,61,2024/12/01,00051,00001
00613,90,5,55,2024/01/01,00052,00024
00614,80,0,52,2024/02/01,00052,00024
00615,30,0,52,2024/03/01,00052,00024
00616,90,0,45,2024/04/01,00052,00024
00617,40,0,45,2024/05/01,00052,00024
00618,90,0,95,2024/06/01,00052,00024
00619,90,0,95,2024/07/01,00052,00024
00620,100,0,95,2024/08/01,00052,00024
00621,90,5,100,2024/09/01,00052,00024
00622,90,0,98,2024/10/01,00052,00024
00623,70,0,98,2024/11/01,00052,00024
00624,30,0,98,2024/12/01,00052,00024
00625,70,0,50,2024/01/01,00053,00066
00626,30,0,50,2024/02/01,00053,00066
00627,90,3,53,2024/03/01,00053,00066
00628,80,3,51,2024/04/01,00053,00066
00629,40,0,41,2024/05/01,00053,00066
00630,30,0,91,2024/06/01,00053,00066
00631,100,0,85,2024/07/01,00053,00066
00632,100,0,85,2024/08/01,00053,00066
