AssessmentProductID,ProductID,ReturnedProductID,AssessmentDate,TotalResaleableProduct,DamageLevelScore
00155,00262,00262,2024/08/13,5,5
00156,00027,00027,2024/02/18,1,2
00157,00063,00063,2024/02/17,6,2
00158,00217,00217,2024/11/12,1,2
00159,00146,00146,2024/01/15,1,1
00160,00049,00049,2024/05/11,0,5
00161,00017,00017,2024/01/10,2,2
00162,00257,00257,2024/04/24,2,4
00163,00207,00207,2024/05/23,2,4
00164,00059,00059,2024/01/27,1,4
00165,00008,00008,2024/05/04,5,5
00166,00013,00013,2024/12/25,1,3
00167,00038,00038,2024/04/07,1,1
00168,00085,00085,2024/11/25,0,1
00169,00189,00189,2024/02/22,0,5
00170,00220,00220,2024/09/12,5,1
00171,00056,00056,2025/01/03,2,3
00172,00071,00071,2024/09/07,1,2
00173,00295,00295,2024/03/02,0,1
00174,00165,00165,2024/10/10,4,1
00175,00022,00022,2024/03/23,1,1
00176,00133,00133,2024/07/14,4,4
00177,00125,00125,2024/12/03,4,1
00178,00013,00013,2024/01/13,5,1
00179,00210,00210,2024/04/04,1,4
00180,00282,00282,2024/12/05,6,3
00181,00103,00103,2024/07/25,3,4
00182,00206,00206,2024/11/10,4,3
00183,00242,00242,2024/10/25,2,3
00184,00125,00125,2024/04/04,2,2
00185,00191,00191,2024/06/17,0,3
00186,00110,00110,2024/08/14,3,2
00187,00162,00162,2024/07/09,2,5
00188,00272,00272,2025/01/01,9,3
00189,00071,00071,2024/03/30,7,2
00190,00034,00034,2024/06/28,3,3
00191,00204,00204,2024/01/17,8,2
00192,00071,00071,2024/11/03,2,3
00193,00238,00238,2024/08/24,2,3
00194,00255,00255,2024/03/17,3,5
00195,00069,00069,2024/05/07,2,3
00196,00261,00261,2024/05/11,0,1
00197,00179,00179,2024/07/26,1,1
00198,00201,00201,2024/02/19,1,4
00199,00133,00133,2024/07/29,1,2
00200,00176,00176,2024/07/29,0,2
00201,00091,00091,2024/07/08,0,3
00202,00135,00135,2024/10/30,0,1
00203,00201,00201,2024/07/30,6,5
00204,00111,00111,2024/02/01,4,3
00205,00018,00018,2024/12/05,4,5
00206,00162,00162,2024/01/25,0,2
00207,00083,00083,2024/06/12,0,2
00208,00199,00199,2024/08/29,2,1
00209,00038,00038,2024/11/28,2,1
00210,00097,00097,2024/03/30,0,2
00211,00117,00117,2024/12/02,1,2
00212,00082,00082,2025/01/01,2,5
00213,00118,00118,2024/08/24,0,2
00214,00298,00298,2024/11/21,6,4
00215,00190,00190,2024/02/24,0,4
00216,00272,00272,2024/02/19,2,4
00217,00180,00180,2024/01/15,1,2
00218,00037,00037,2024/06/03,1,5
00219,00167,00167,2024/07/13,0,2
00220,00136,00136,2024/08/15,8,3
00221,00196,00196,2024/11/06,3,2
00222,00173,00173,2024/04/05,3,1
00223,00132,00132,2024/06/23,0,3
00224,00115,00115,2024/10/13,6,2
00225,00083,00083,2024/06/28,4,5
00226,00275,00275,2024/12/19,5,1
00227,00093,00093,2024/02/12,6,2
00228,00247,00247,2024/09/16,3,5
00229,00147,00147,2024/07/12,8,4
00230,00095,00095,2024/03/02,4,4
00231,00143,00143,2024/06/16,2,4
00232,00013,00013,2024/04/12,2,3
00233,00044,00044,2024/12/31,1,2
00234,00142,00142,2024/10/23,5,4
00235,00216,00216,2024/04/08,1,3
00236,00177,00177,2024/12/30,4,5
00237,00137,00137,2024/08/09,2,4
00238,00176,00176,2024/11/25,1,3
00239,00021,00021,2024/01/04,6,1
00240,00177,00177,2024/02/15,1,5
00241,00228,00228,2024/04/04,1,1
00242,00193,00193,2024/12/15,7,4
00243,00182,00182,2024/02/17,3,2
00244,00004,00004,2024/05/19,6,2
00245,00045,00045,2024/04/15,3,5
00246,00261,00261,2024/08/21,2,3
00247,00161,00161,2024/05/29,9,4
00248,00276,00276,2024/12/08,5,1
00249,00126,00126,2024/07/05,2,4
00250,00125,00125,2024/03/13,3,3
00251,00156,00156,2024/09/10,4,4
00252,00243,00243,2024/06/10,0,3
00253,00005,00005,2024/07/26,1,3
00254,00092,00092,2024/01/22,2,1
00255,00031,00031,2024/09/07,3,3
00256,00129,00129,2024/05/26,3,1
00257,00245,00245,2024/12/01,0,1
00258,00215,00215,2024/05/31,6,3
00259,00204,00204,2024/10/14,0,3
00260,00006,00006,2024/03/16,1,1
00261,00144,00144,2024/02/22,3,4
00262,00036,00036,2024/06/13,9,1
00263,00042,00042,2024/02/02,0,2
00264,00253,00253,2024/04/30,2,2
00265,00039,00039,2024/03/22,3,5
00266,00094,00094,2024/01/30,2,5
00267,00283,00283,2024/06/13,3,4
00268,00145,00145,2024/08/06,0,5
00269,00191,00191,2024/07/17,8,3
00270,00203,00203,2024/03/22,4,5
00271,00282,00282,2024/08/29,3,3
00272,00272,00272,2024/03/26,1,5
00273,00296,00296,2024/12/15,2,1
00274,00088,00088,2024/02/01,5,3
00275,00005,00005,2024/10/18,2,4
00276,00178,00178,2024/05/21,2,2
00277,00120,00120,2024/09/30,1,4
00278,00076,00076,2024/05/27,1,2
00279,00017,00017,2024/05/24,1,3
00280,00161,00161,2024/10/22,1,5
00281,00031,00031,2024/06/16,1,2
00282,00200,00200,2024/03/27,2,5
00283,00202,00202,2024/10/06,3,5
00284,00202,00202,2024/06/24,9,2
00285,00062,00062,2024/07/19,4,4
00286,00262,00262,2024/03/04,2,5
00287,00286,00286,2024/05/10,2,4
00288,00073,00073,2024/08/31,2,1
00289,00271,00271,2024/03/27,2,3
00290,00279,00279,2024/08/29,4,1
00291,00048,00048,2024/02/12,0,2
00292,00001,00001,2024/02/26,4,5
00293,00138,00138,2024/09/23,4,3
00294,00149,00149,2024/04/25,1,2
00295,00060,00060,2024/03/12,0,1
00296,00215,00215,2024/10/18,3,4
00297,00243,00243,2024/10/08,3,5
00298,00142,00142,2024/07/12,2,4
00299,00232,00232,2024/09/19,0,4
00300,00167,00167,2024/08/05,5,1
00301,00140,00140,2024/02/12,5,4
00302,00020,00020,2024/08/28,2,3
00303,00182,00182,2024/12/19,4,4
00304,00245,00245,2024/04/27,3,3
00305,00204,00204,2024/06/18,2,5
00306,00182,00182,2024/11/12,1,3
00307,00032,00032,2024/03/20,1,2
00308,00039,00039,2024/04/16,5,5
00309,00083,00083,2024/09/23,0,3
00310,00058,00058,2024/12/17,4,3
00311,00221,00221,2024/12/05,4,2
00312,00125,00125,2024/10/08,4,5
00313,00118,00118,2024/06/01,0,2
00314,00147,00147,2024/01/28,0,3
00315,00123,00123,2024/06/03,0,4
00316,00105,00105,2024/05/01,0,3
00317,00256,00256,2024/11/21,5,1
00318,00173,00173,2024/01/11,0,4
00319,00262,00262,2024/10/22,0,4
00320,00178,00178,2024/04/29,0,4
00321,00041,00041,2024/11/26,1,4
00322,00157,00157,2024/06/11,2,5
00323,00257,00257,2024/10/07,3,1
00324,00048,00048,2024/12/27,2,4
00325,00082,00082,2024/05/07,8,3
00326,00271,00271,2024/07/12,0,2
00327,00218,00218,2024/09/17,2,1
00328,00105,00105,2024/11/01,6,1
00329,00117,00117,2024/03/20,2,1
00330,00140,00140,2024/12/19,4,4
00331,00039,00039,2024/09/21,1,2
00332,00113,00113,2024/04/19,5,1
00333,00219,00219,2024/12/28,4,1
00334,00255,00255,2024/05/21,0,4
00335,00173,00173,2024/12/08,2,4
00336,00105,00105,2024/12/02,2,3
00337,00120,00120,2024/03/28,0,3
00338,00115,00115,2024/07/05,1,2
00339,00009,00009,2024/03/25,8,4
00340,00106,00106,2024/10/15,3,5
00341,00008,00008,2024/11/25,1,5
00342,00119,00119,2024/11/24,2,2
00343,00133,00133,2024/06/03,3,5
00344,00249,00249,2024/01/21,4,2
00345,00137,00137,2024/11/04,1,1
00346,00089,00089,2024/10/23,4,2
00347,00121,00121,2024/12/28,0,1
00348,00233,00233,2024/07/13,1,2
00349,00046,00046,2024/11/23,0,3
00350,00235,00235,2024/07/31,0,3
00351,00075,00075,2024/06/24,2,1
00352,00218,00218,2024/10/13,5,1
00353,00118,00118,2024/08/29,6,2
00354,00019,00019,2024/10/03,5,2
00355,00045,00045,2024/06/03,3,5
00356,00284,00284,2024/04/13,1,5
00357,00096,00096,2024/04/08,1,5
00358,00155,00155,2024/04/24,1,4
00359,00059,00059,2024/07/12,4,5
00360,00111,00111,2024/07/18,2,2
00361,00092,00092,2024/04/17,4,3
00362,00147,00147,2024/03/13,1,4
00363,00225,00225,2024/03/07,1,5
00364,00194,00194,2024/10/22,6,2
00365,00231,00231,2024/01/15,8,4
00366,00067,00067,2024/05/20,8,1
00367,00230,00230,2024/05/27,1,3
00368,00215,00215,2024/10/15,0,2
00369,00271,00271,2024/11/24,4,5
00370,00265,00265,2024/11/20,2,3
00371,00150,00150,2024/01/07,0,2
00372,00287,00287,2024/07/13,2,4
00373,00008,00008,2024/08/13,6,5
00374,00011,00011,2024/11/03,6,4
00375,00095,00095,2024/11/11,1,3
00376,00051,00051,2024/10/26,2,3
00377,00211,00211,2024/08/15,7,5
00378,00126,00126,2024/06/28,4,3
00379,00263,00263,2024/08/31,0,3
00380,00227,00227,2024/09/30,3,3
00381,00003,00003,2024/06/02,7,5
00382,00109,00109,2024/11/09,1,3
00383,00206,00206,2024/11/06,0,2
00384,00243,00243,2024/07/25,6,3
00385,00080,00080,2024/12/07,5,5
00386,00067,00067,2024/09/19,3,1
00387,00224,00224,2024/11/23,8,3
00388,00249,00249,2024/10/01,3,3
00389,00121,00121,2024/10/20,1,5
00390,00085,00085,2024/11/13,0,2
00391,00151,00151,2024/03/13,3,5
00392,00027,00027,2024/04/06,3,5
00393,00024,00024,2024/03/13,0,2
00394,00152,00152,2024/05/26,0,2
00395,00092,00092,2024/07/25,1,1
00396,00216,00216,2024/10/21,2,2
00397,00155,00155,2024/08/13,2,3
00398,00165,00165,2024/02/12,3,3
00399,00149,00149,2024/08/13,7,3
00400,00152,00152,2024/05/29,5,1
00401,00045,00045,2024/12/30,4,5
00402,00062,00062,2024/04/24,2,3
00403,00267,00267,2024/06/05,1,1
00404,00043,00043,2024/10/21,1,1
00405,00150,00150,2024/10/31,1,2
00406,00080,00080,2024/09/25,8,5
00407,00020,00020,2024/03/25,2,1
00408,00100,00100,2024/05/02,1,4
00409,00047,00047,2024/02/27,3,4
00410,00170,00170,2024/10/31,6,1
00411,00292,00292,2024/11/13,2,2
00412,00287,00287,2024/12/01,6,2
00413,00232,00232,2024/05/29,3,3
00414,00051,00051,2024/04/10,8,1
00415,00001,00001,2024/01/12,0,4
00416,00177,00177,2024/01/17,3,5
00417,00035,00035,2024/09/08,3,2
00418,00046,00046,2024/04/22,7,3
00419,00073,00073,2024/08/10,4,3
00420,00042,00042,2024/07/15,2,3
00421,00174,00174,2024/01/08,1,3
00422,00108,00108,2024/08/06,2,1
00423,00135,00135,2024/09/20,3,3
00424,00272,00272,2024/11/05,3,1
00425,00262,00262,2024/06/22,0,2
00426,00098,00098,2024/03/08,4,1
00427,00183,00183,2024/01/18,1,2
00428,00219,00219,2024/06/18,1,4
00429,00028,00028,2024/09/02,4,3
00430,00289,00289,2024/10/21,4,5
00431,00165,00165,2024/02/02,0,3
00432,00138,00138,2024/11/07,2,5
00433,00118,00118,2024/07/04,0,2
00434,00155,00155,2024/10/15,0,5
00435,00141,00141,2024/10/09,3,1
00436,00152,00152,2024/09/15,6,1
00437,00221,00221,2024/10/11,0,5
00438,00139,00139,2024/03/12,1,4
00439,00234,00234,2024/07/19,4,2
00440,00275,00275,2024/12/01,1,4
00441,00248,00248,2024/07/07,4,1
00442,00278,00278,2024/06/18,1,5
00443,00152,00152,2024/11/06,4,1
00444,00210,00210,2024/10/23,4,1
00445,00041,00041,2024/07/31,2,5
00446,00243,00243,2024/06/27,3,3
00447,00137,00137,2024/12/07,2,2
00448,00221,00221,2024/10/19,1,3
00449,00096,00096,2024/07/20,1,4
00450,00030,00030,2024/10/04,6,4
00451,00249,00249,2024/04/15,3,3
00452,00140,00140,2024/10/28,1,2
00453,00274,00274,2024/08/19,1,3
00454,00213,00213,2024/12/13,4,4
00455,00157,00157,2024/03/09,1,5
00456,00017,00017,2024/03/16,5,4
00457,00295,00295,2024/01/18,2,1
00458,00284,00284,2024/03/18,1,3
00459,00166,00166,2024/08/15,6,5
00460,00295,00295,2024/03/19,1,4
00461,00106,00106,2024/11/21,3,5
00462,00194,00194,2024/07/29,8,5
00463,00242,00242,2024/09/13,7,4
00464,00089,00089,2024/03/30,5,2
00465,00039,00039,2024/08/21,2,1
00466,00095,00095,2024/05/07,5,2
00467,00299,00299,2024/07/06,6,4
00468,00109,00109,2024/04/01,0,4
00469,00089,00089,2024/08/14,4,1
00470,00234,00234,2024/06/20,3,2
00471,00206,00206,2024/05/17,3,3
00472,00005,00005,2024/12/03,0,5
00473,00001,00001,2024/01/18,1,4
00474,00296,00296,2024/02/10,3,3
00475,00098,00098,2024/01/30,0,5
00476,00165,00165,2024/07/12,0,4
00477,00284,00284,2024/07/09,0,4
00478,00080,00080,2024/06/07,0,3
00479,00056,00056,2024/12/12,3,3
00480,00224,00224,2024/08/15,2,1
00481,00056,00056,2024/06/06,3,5
00482,00097,00097,2024/09/26,4,4
00483,00298,00298,2024/08/23,1,2
00484,00172,00172,2024/09/10,5,4
00485,00020,00020,2024/11/02,1,5
00486,00265,00265,2024/01/06,2,4
00487,00031,00031,2024/04/30,7,5
00488,00260,00260,2025/01/02,2,2
00489,00219,00219,2024/07/16,1,2
00490,00259,00259,2024/05/13,2,1
00491,00175,00175,2024/01/21,1,2
00492,00094,00094,2024/09/22,0,1
00493,00209,00209,2024/02/17,0,2
00494,00207,00207,2024/11/16,4,3
00495,00135,00135,2024/01/07,2,5
00496,00146,00146,2024/04/21,2,4
00497,00245,00245,2024/02/10,4,4
00498,00023,00023,2024/11/20,2,3
00499,00102,00102,2024/03/06,6,4
00500,00054,00054,2024/09/24,2,1
00501,00163,00163,2024/11/09,4,3
00502,00086,00086,2024/07/26,1,3
00503,00263,00263,2024/10/05,6,1
00504,00007,00007,2024/04/10,1,2
00505,00230,00230,2024/09/20,1,2
00506,00130,00130,2024/10/30,5,3
00507,00089,00089,2024/11/09,8,3
00508,00273,00273,2024/05/13,5,1
00509,00276,00276,2024/01/13,1,1
00510,00166,00166,2024/04/11,0,2
00511,00128,00128,2024/12/07,3,1
00512,00227,00227,2024/06/21,3,2
00513,00136,00136,2024/07/04,3,1
00514,00264,00264,2024/09/05,7,3
00515,00121,00121,2024/04/03,3,5
00516,00267,00267,2024/04/04,0,1
00517,00246,00246,2024/10/03,8,4
00518,00009,00009,2024/01/13,3,3
00519,00245,00245,2024/03/29,2,1
00520,00006,00006,2024/10/09,2,1
00521,00220,00220,2024/08/04,0,2
00522,00075,00075,2024/01/14,0,4
00523,00201,00201,2024/07/16,0,4
00524,00188,00188,2024/04/01,1,2
00525,00220,00220,2024/06/21,2,2
00526,00201,00201,2024/06/21,2,1
00527,00078,00078,2024/03/22,6,1
00528,00110,00110,2024/07/08,0,5
00529,00211,00211,2024/09/13,6,2
00530,00153,00153,2024/04/06,2,5
00531,00265,00265,2024/01/29,8,5
00532,00006,00006,2024/04/30,8,5
00533,00173,00173,2024/05/19,2,5
00534,00236,00236,2024/06/11,0,2
00535,00126,00126,2024/06/17,1,3
00536,00084,00084,2024/03/22,1,4
00537,00121,00121,2024/06/28,2,3
00538,00289,00289,2024/07/15,0,4
00539,00032,00032,2024/08/11,1,5
00540,00116,00116,2024/09/06,8,4
00541,00122,00122,2024/09/17,0,2
00542,00195,00195,2024/08/10,2,5
00543,00110,00110,2024/08/29,3,2
00544,00116,00116,2024/07/02,3,1
00545,00262,00262,2024/07/07,4,1
00546,00217,00217,2024/05/26,2,5
00547,00243,00243,2024/09/15,1,3
00548,00075,00075,2024/12/22,5,4
00549,00001,00001,2024/01/14,3,3
00550,00062,00062,2024/09/17,0,5
00551,00016,00016,2024/03/20,3,4
00552,00260,00260,2024/03/13,4,1
00553,00163,00163,2024/09/03,7,3
00554,00151,00151,2024/10/12,2,5
00555,00076,00076,2024/03/02,2,1
00556,00063,00063,2024/05/06,4,5
00557,00128,00128,2024/09/16,4,4
00558,00096,00096,2024/08/30,3,1
00559,00300,00300,2024/09/10,7,3
00560,00231,00231,2024/12/07,3,3
00561,00176,00176,2024/06/27,1,1
00562,00053,00053,2024/03/17,3,5
00563,00192,00192,2024/07/31,0,2
00564,00146,00146,2024/08/24,0,1
00565,00076,00076,2024/08/01,2,4
00566,00293,00293,2024/09/08,1,3
00567,00237,00237,2024/06/10,1,4
00568,00185,00185,2024/12/11,3,1
00569,00198,00198,2024/06/11,6,5
00570,00165,00165,2024/09/20,4,2
00571,00200,00200,2024/04/03,0,2
00572,00051,00051,2024/06/30,4,1
00573,00288,00288,2024/10/01,1,3
00574,00154,00154,2024/04/23,5,3
00575,00003,00003,2024/05/24,3,4
00576,00175,00175,2024/08/31,2,5
00577,00147,00147,2024/05/30,0,1
00578,00299,00299,2024/06/15,5,2
00579,00195,00195,2024/05/22,6,4
00580,00117,00117,2024/04/06,7,5
00581,00224,00224,2024/11/28,1,4
00582,00021,00021,2024/04/07,1,2
00583,00085,00085,2024/09/10,0,4
00584,00199,00199,2024/03/09,0,2
00585,00200,00200,2024/05/17,3,4
00586,00090,00090,2024/11/13,5,4
00587,00089,00089,2024/05/12,0,2
00588,00255,00255,2024/08/26,2,4
00589,00022,00022,2024/12/12,4,4
00590,00265,00265,2024/01/30,5,4
00591,00006,00006,2024/02/07,1,3
00592,00244,00244,2024/11/07,1,1
00593,00035,00035,2024/01/30,0,1
00594,00223,00223,2024/09/13,0,5
00595,00166,00166,2024/12/12,4,2
00596,00079,00079,2024/05/18,5,1
00597,00081,00081,2024/07/09,5,5
00598,00224,00224,2024/12/12,4,3
00599,00240,00240,2024/11/02,9,2
00600,00016,00016,2024/07/07,0,5
00601,00232,00232,2024/02/18,3,4
00602,00223,00223,2024/04/02,6,4
00603,00278,00278,2024/10/13,1,4
00604,00166,00166,2024/04/24,6,3
00605,00037,00037,2024/07/15,2,2
00606,00247,00247,2024/05/20,8,2
00607,00064,00064,2024/10/26,1,1
00608,00135,00135,2024/11/23,5,4
00609,00156,00156,2024/11/05,1,1
00610,00029,00029,2024/11/17,5,2
00611,00268,00268,2024/07/22,0,5
00612,00046,00046,2024/08/09,0,2
00613,00185,00185,2024/01/09,10,4
00614,00190,00190,2024/07/15,8,5
00615,00089,00089,2024/03/12,6,4
00616,00178,00178,2024/01/09,1,5
00617,00299,00299,2024/08/05,1,3
00618,00282,00282,2024/10/07,0,2
00619,00236,00236,2024/03/05,0,5
00620,00271,00271,2024/09/13,2,4
00621,00209,00209,2024/10/06,3,2
00622,00141,00141,2024/09/17,5,3
00623,00154,00154,2024/07/05,2,1
00624,00037,00037,2024/11/14,1,2
00625,00066,00066,2024/12/26,1,4
00626,00192,00192,2024/04/06,0,1
00627,00106,00106,2024/08/26,1,1
00628,00128,00128,2024/11/30,0,5
00629,00280,00280,2024/10/24,1,3
00630,00057,00057,2024/08/19,4,5
00631,00022,00022,2024/10/16,1,1
00632,00001,00001,2024/09/28,0,2
00633,00093,00093,2024/05/22,0,4
00634,00114,00114,2025/01/03,4,1
00635,00109,00109,2024/03/12,9,3
00636,00039,00039,2024/03/22,2,5
00637,00067,00067,2024/09/23,3,5
00638,00177,00177,2024/05/14,1,5
00639,00138,00138,2024/11/01,0,3
00640,00134,00134,2024/07/04,5,2
00641,00121,00121,2024/07/08,0,2
00642,00034,00034,2024/10/26,2,4
00643,00084,00084,2024/06/22,1,3
00644,00025,00025,2024/08/03,3,5
00645,00224,00224,2024/07/31,6,4
00646,00054,00054,2024/07/04,0,3
00647,00095,00095,2024/05/06,0,1
00648,00047,00047,2024/06/18,1,5
00649,00148,00148,2024/07/12,2,1
00650,00211,00211,2024/09/26,2,5
00651,00242,00242,2024/06/13,7,2
00652,00134,00134,2024/04/20,2,1
00653,00284,00284,2024/01/21,0,4
00654,00296,00296,2024/12/01,3,4
00655,00228,00228,2024/09/28,1,1
00656,00048,00048,2024/06/13,7,4
00657,00049,00049,2025/01/03,1,3
00658,00123,00123,2024/02/10,3,4
00659,00087,00087,2024/10/24,5,1
00660,00205,00205,2024/11/30,1,3
00661,00024,00024,2024/10/27,5,2
00662,00057,00057,2024/03/19,2,4
00663,00288,00288,2024/12/19,1,3
00664,00200,00200,2024/07/31,2,4
00665,00028,00028,2024/12/21,3,3
00666,00012,00012,2024/06/21,1,2
00667,00221,00221,2024/08/30,1,5
00668,00051,00051,2024/03/02,1,4
00669,00047,00047,2024/08/22,3,5
00670,00292,00292,2024/01/18,2,3
00671,00064,00064,2024/06/07,7,3
00672,00076,00076,2024/11/20,3,3
00673,00074,00074,2024/11/30,0,2
00674,00153,00153,2024/02/18,1,2
00675,00188,00188,2024/10/18,2,3
00676,00150,00150,2024/04/23,4,4
00677,00089,00089,2024/07/27,0,4
00678,00084,00084,2024/02/05,3,4
00679,00033,00033,2024/09/25,2,2
00680,00221,00221,2024/07/09,0,4
00681,00220,00220,2024/04/21,3,3
00682,00278,00278,2024/05/21,5,2
00683,00031,00031,2024/06/13,3,5
00684,00248,00248,2024/10/21,5,2
00685,00142,00142,2024/01/30,4,3
00686,00155,00155,2024/07/17,3,3
00687,00100,00100,2024/04/04,3,4
00688,00298,00298,2024/12/19,2,2
00689,00176,00176,2024/03/30,1,1
00690,00136,00136,2024/06/19,0,5
00691,00083,00083,2024/01/23,0,5
00692,00198,00198,2024/09/10,1,1
00693,00028,00028,2024/06/17,2,4
00694,00278,00278,2025/01/04,1,3
